,食物成分表,,,,,,,,,,,,,,,,,,
序号,名  称,可食部分,能量,水分,蛋白质,脂肪,膳食纤维,碳水化物,维生素A,维生素B1,维生素B2,烟酸,维生素E,钠,钙,铁,类别,维生素C,胆固醇
16,稻米（籼）,100,347,12.6000003814697,7.90000009536743,0.600000023841858,0.800000011920929,77.5,0,0.0900000035762787,0.0399999991059303,1.39999997615814,0.540000021457672,1.70000004768372,12,1.60000002384186,11,0,0
17,稻米（优标）,100,349,12.8000001907349,8.30000019073486,1,0.5,76.8000030517578,0,0.129999995231628,0.0199999995529652,2.59999990463257,0,1.20000004768372,8,0.5,11,0,0
18,稻米（籼，标一）,100,346,13,7.69999980926514,0.699999988079071,0.600000023841858,77.3000030517578,0,0.150000005960464,0.0599999986588955,2.09999990463257,0.430000007152557,2.70000004768372,7,1.29999995231628,11,0,0
19,稻谷（红）,64,344,13.3999996185303,7,2,2,74.4000015258789,0,0.150000005960464,0.0299999993294477,5.09999990463257,0.189999997615814,22,0,5.5,11,0,0
20,稻米（香大米）,100,346,12.8999996185303,12.6999998092651,0.899999976158142,0.600000023841858,71.8000030517578,0,0,0.0799999982118607,2.59999990463257,0.699999988079071,21.5,8,5.09999990463257,11,0,0
21,方便面,100,472,3.59999990463257,9.5,21.1000003814697,0.699999988079071,60.9000015258789,0,0.119999997317791,0.0599999986588955,0.899999976158142,2.27999997138977,1144,25,4.09999990463257,11,0,0
22,麸皮,100,220,14.5,15.8000001907349,4,31.2999992370605,30.1000003814697,20,0.300000011920929,0.300000011920929,12.5,4.46999979019165,12.1999998092651,206,9.89999961853027,11,0,0
23,高粱米,100,351,10.3000001907349,10.3999996185303,3.09999990463257,4.30000019073486,70.4000015258789,0,0.28999999165535,0.100000001490116,1.60000002384186,1.87999999523163,6.30000019073486,22,6.30000019073486,11,0,0
24,挂面（赖氨酸）,100,347,11.8999996185303,11.1999998092651,0.5,0.200000002980232,74.5,0,0.180000007152557,0.0299999993294477,2.5,0,292.799987792969,26,2.29999995231628,11,0,0
25,挂面（标准粉）,100,344,12.3999996185303,10.1000003814697,0.699999988079071,1.60000002384186,74.4000015258789,0,0.189999997615814,0.0399999991059303,2.5,1.11000001430511,15,14,3.5,11,0,0
26,挂面（精白粉）,100,347,12.6999998092651,9.60000038146973,0.600000023841858,0.300000011920929,75.6999969482422,0,0.200000002980232,0.0399999991059303,2.40000009536743,0.879999995231628,110.599998474121,21,3.20000004768372,11,0,0
27,谷子（龙谷）,100,383,0,10.8999996185303,0,3.09999990463257,84.8000030517578,0,0.419999986886978,0.170000001788139,0.600000023841858,3.29999995231628,0,0,0,11,0,0
28,黑米（稻米（紫））,100,333,14.3000001907349,9.39999961853027,2.5,3.90000009536743,68.3000030517578,0,0.330000013113022,0.129999995231628,7.90000009536743,0.219999998807907,7.09999990463257,12,1.60000002384186,11,0,0
29,花卷,100,217,45.7000007629395,6.40000009536743,1,0,45.5999984741211,0,0.0199999995529652,0.0199999995529652,1.10000002384186,0,95,19,0.400000005960464,11,0,0
30,黄米,100,342,11.1000003814697,9.69999980926514,1.5,4.40000009536743,72.5,0,0.0900000035762787,0.129999995231628,1.29999995231628,4.6100001335144,3.29999995231628,0,0,11,0,0
31,煎饼,100,333,6.80000019073486,7.59999990463257,0.699999988079071,9.10000038146973,74.6999969482422,0,0.100000001490116,0.0399999991059303,0.200000002980232,0,85.5,9,7,11,0,0
32,烤麸,100,121,68.5999984741211,20.3999996185303,0.300000011920929,0.200000002980232,9.10000038146973,0,0.0399999991059303,0.0500000007450581,1.20000004768372,0.419999986886978,230,30,2.70000004768372,11,0,0
33,苦荞麦粉,100,304,19.2999992370605,9.69999980926514,2.70000004768372,5.80000019073486,60.2000007629395,0,0.319999992847443,0.209999993443489,1.5,1.73000001907349,2.29999995231628,39,4.40000009536743,11,0,0
